k,m,q,p,eps,rank_success,gap_mean,gap_std,gap_rmse
100,1,0.7,0.8,0.7000000000000001,1.0,0.28098,0.08246235286262235,0.42704917749598825
100,1,0.7,0.9,0.1,0.762,0.040909999999999995,0.05069163186899334,0.0778376515575849
100,1,0.7,0.9,0.2,0.904,0.08012,0.056147467780284954,0.13236540333485938
100,1,0.7,0.9,0.30000000000000004,0.972,0.12007999999999998,0.0626028171308026,0.19048989474510197
100,1,0.7,0.9,0.4,0.985,0.16004999999999997,0.06766887450354539,0.24930002005615648
100,1,0.7,0.9,0.5,0.993,0.19938999999999998,0.07501303123361203,0.3098188180211138
100,1,0.7,0.9,0.6000000000000001,1.0,0.241,0.07748680019335037,0.36725903664852155
100,1,0.7,0.9,0.7000000000000001,0.999,0.27708000000000005,0.08194014759437396,0.43077697245790664
100,1,0.7,0.9,0.8,1.0,0.31876,0.08197671975983536,0.4881653408426289
100,1,0.75,0.6,0.1,0.739,0.049,0.06800312069621822,0.08497529052612883
100,1,0.75,0.6,0.2,0.914,0.10050000000000002,0.07235596302576164,0.12300569092525761
100,1,0.75,0.6,0.30000000000000004,0.97,0.1458,0.07441301833212585,0.17119988317753027
100,1,0.75,0.6,0.4,0.996,0.19993,0.07052424241896377,0.21212425603876614
100,1,0.75,0.6,0.5,0.999,0.24717,0.07360236686689096,0.26331521034683886
100,1,0.75,0.7,0.1,0.723,0.04739,0.07069714270029578,0.08809597039592673
100,1,0.75,0.7,0.2,0.906,0.09628999999999999,0.07054723816573412,0.1254101271827758
100,1,0.75,0.7,0.30000000000000004,0.976,0.1504,0.0733881858736529,0.16661512536381567
100,1,0.75,0.7,0.4,0.998,0.20382,0.0739626803062063,0.2096463689168024
100,1,0.75,0.7,0.5,0.999,0.25049999999999994,0.07472304553170683,0.2604384764200559
100,1,0.75,0.7,0.6000000000000001,1.0,0.30165,0.07556512150183832,0.30776143358127256
100,1,0.75,0.75,0.1,0.772,0.052079999999999994,0.06691151433610473,0.08227393268830657
100,1,0.75,0.75,0.2,0.906,0.09587,0.06829866622275876,0.12451144525705259
100,1,0.75,0.75,0.30000000000000004,0.969,0.14829000000000003,0.07432159578211169,0.16892039545300624
100,1,0.75,0.75,0.4,0.994,0.20207999999999998,0.07482427595554983,0.21157835428039423
100,1,0.75,0.75,0.5,0.997,0.24759,0.07442332114821759,0.26314273693187884
100,1,0.75,0.75,0.6000000000000001,1.0,0.30040999999999995,0.07676473620566102,0.30925895298277145
100,1,0.75,0.8,0.1,0.771,0.05002,0.06110100598953288,0.07891514430069808
100,1,0.75,0.8,0.2,0.939,0.10162,0.06488594443934514,0.11783293257829071
100,1,0.75,0.8,0.30000000000000004,0.978,0.15106999999999998,0.06907333947498287,0.16415389121187476
100,1,0.75,0.8,0.4,0.998,0.20107,0.071322099954656,0.2113170603619121
100,1,0.75,0.8,0.5,0.997,0.25196,0.07496250914809201,0.2591092433704363
100,1,0.75,0.8,0.6000000000000001,1.0,0.30147,0.0766760609207223,0.30821015557570464
100,1,0.75,0.8,0.7000000000000001,1.0,0.35465,0.07663648380928402,0.3537427031049546
100,1,0.75,0.9,0.1,0.805,0.049679999999999995,0.05157477636943816,0.07203749023945796
100,1,0.75,0.9,0.2,0.954,0.10222999999999999,0.057471994311404664,0.11339620804947581
100,1,0.75,0.9,0.30000000000000004,0.993,0.15450999999999998,0.0619515770412497,0.15811862635376014
100,1,0.75,0.9,0.4,0.997,0.20349,0.06906148991579454,0.20828082004831847
100,1,0.75,0.9,0.5,0.998,0.251,0.07168080732063598,0.2591022964004758
100,1,0.75,0.9,0.6000000000000001,1.0,0.2985,0.07325924458330782,0.31026408106643616
100,1,0.75,0.9,0.7000000000000001,1.0,0.34817,0.07747098071441237,0.3602500520471858
100,1,0.75,0.9,0.8,1.0,0.39808000000000004,0.08323365570153363,0.41043952051428967
100,1,0.8,0.6,0.1,0.793,0.06255,0.06859666903722805,0.07812361998781163
100,1,0.8,0.6,0.2,0.944,0.12142000000000001,0.07228422102097116,0.10674549170808105
100,1,0.8,0.6,0.30000000000000004,0.995,0.18295999999999998,0.06929820084706846,0.13599926470389467
100,1,0.8,0.6,0.4,1.0,0.23863,0.06885756650118027,0.17543346317051375
100,1,0.8,0.6,0.5,1.0,0.29916,0.0699427364805409,0.21265888178018805
100,1,0.8,0.7,0.1,0.8,0.06044,0.06763120862723347,0.07832241058598745
100,1,0.8,0.7,0.2,0.941,0.12037,0.07023030254381221,0.10615224915186679
100,1,0.8,0.7,0.30000000000000004,0.996,0.18131999999999998,0.06976478140670064,0.13764882854568727
100,1,0.8,0.7,0.4,0.999,0.23764,0.07342902847118585,0.17817743964935628
100,1,0.8,0.7,0.5,1.0,0.29975,0.07332676397001517,0.2132404745821018
100,1,0.8,0.7,0.6000000000000001,1.0,0.3626,0.07238839741339824,0.24818057941748795
100,1,0.8,0.75,0.1,0.809,0.05914,0.06264650816274586,0.07476764005905227
100,1,0.8,0.75,0.2,0.95,0.11933999999999999,0.06656872986467291,0.1045609869884557
100,1,0.8,0.75,0.30000000000000004,0.996,0.18121,0.07047838748937935,0.13810611861898087
100,1,0.8,0.75,0.4,0.998,0.23851000000000003,0.07428188000917652,0.17773941599994078
