k,m,q,p,eps,rank_success,gap_mean,gap_std,gap_rmse
100,2,0.8,0.7,0.2,0.869,0.12436,0.0997383483828469,0.1251367252248515
100,2,0.8,0.7,0.3,0.955,0.1838,0.1046695548653748,0.1563560040420578
100,2,0.8,0.7,0.4,0.992,0.23714,0.1000791498576813,0.1911261363602582
100,2,0.8,0.7,0.5,0.998,0.29824,0.0997700178232742,0.2250582146912216
100,2,0.8,0.7,0.6000000000000001,1.0,0.36424,0.1021629074550037,0.2569233348685946
100,2,0.8,0.8,0.1,0.721,0.05902,0.0858580876284302,0.0950978443499115
100,2,0.8,0.8,0.2,0.888,0.11974,0.0892518812031337,0.1199983333217591
100,2,0.8,0.8,0.3,0.963,0.1814,0.0949645105197634,0.1519052336162253
100,2,0.8,0.8,0.4,0.992,0.241,0.0950496419479549,0.1852198693445171
100,2,0.8,0.8,0.5,0.994,0.30002,0.0986657718488764,0.2229735410312174
100,2,0.8,0.8,0.6000000000000001,1.0,0.3569799999999999,0.1022748245646979,0.2636444575560048
100,2,0.8,0.8,0.7000000000000001,1.0,0.42004,0.1100695857796953,0.3008002659573293
100,2,0.8,0.9,0.1,0.744,0.0555,0.0733316270617768,0.0857461369392231
100,2,0.8,0.9,0.2,0.914,0.1189,0.0816348838074401,0.115042600805093
100,2,0.8,0.9,0.3,0.979,0.18048,0.085425213298341,0.1468849890220236
100,2,0.8,0.9,0.4,0.992,0.2332999999999999,0.0938697050252184,0.1912893096856173
100,2,0.8,0.9,0.5,0.996,0.2932599999999999,0.0999968588095234,0.2296318793199237
100,2,0.8,0.9,0.6000000000000001,1.0,0.35692,0.1007087675222761,0.2630969403090809
100,2,0.8,0.9,0.7000000000000001,0.999,0.41478,0.1047364374099163,0.3038242913264179
100,2,0.8,0.9,0.8,1.0,0.47602,0.1094519955932249,0.3419514585434605
100,2,0.9,0.6,0.1,0.754,0.08058,0.0980942714233919,0.099949987493746
100,2,0.9,0.6,0.2,0.944,0.16594,0.0997189062327714,0.1053280589396766
100,2,0.9,0.6,0.3,0.993,0.23878,0.0970212591380091,0.1146804255311254
100,2,0.9,0.6,0.4,0.999,0.32236,0.094823108058225,0.1225169376045614
100,2,0.9,0.6,0.5,1.0,0.40408,0.0910056901277916,0.1321907712361192
100,2,0.9,0.7,0.1,0.789,0.08352,0.0948631045697356,0.0962372069420138
100,2,0.9,0.7,0.2,0.923,0.1576,0.0992698065601746,0.1078999536607871
100,2,0.9,0.7,0.3,0.981,0.24058,0.0994281124710187,0.1157877368290787
100,2,0.9,0.7,0.4,0.998,0.31804,0.100529919251259,0.1296672664938997
100,2,0.9,0.7,0.5,1.0,0.3958,0.0966545503434892,0.1420929273398222
100,2,0.9,0.7,0.6000000000000001,1.0,0.47372,0.0903500123117021,0.1552469001300832
100,2,0.9,0.8,0.1,0.8,0.08172,0.0869240898565949,0.0887828812328142
